Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,IMDF_scanner,321.jpg,Faces_302_h.jpg,2,77,9999,red,TBF_neg,IMDF_scanner,no,,9999,47,47,2,4,TBF,two,128
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,129
neg,IMDF_scanner,779.jpg,Objects_022_h.jpg,2,9999,65,red,TBF_neg,IMDF_scanner,no,,9999,65,95,4,4,TBF,one,130
neu,IMDF_scanner,724.jpg,neutral_242.jpg,2,9999,59,green,TBR_neu,IMDF_scanner,no,,89,9999,89,3,4,TBR,two,131
neu,IMDF_scanner,446.jpg,neutral_201.jpg,2,9999,34,red,TBF_neu,IMDF_scanner,no,,64,9999,64,3,4,TBF,one,132
neg,IMDF_scanner,809.jpg,People_058_h.jpg,2,9999,68,red,TBF_neg,IMDF_scanner,no,,9999,68,98,4,4,TBF,one,133
neu,IMDF_scanner,450.jpg,neutral_276.jpg,2,9999,36,green,TBR_neu,IMDF_scanner,no,,66,9999,66,3,4,TBR,one,134
neg,IMDF_scanner,276.jpg,Objects_125_h.jpg,2,67,9999,red,TBF_neg,IMDF_scanner,no,,9999,37,37,2,4,TBF,one,135
neg,IMDF_scanner,932.jpg,Faces_272_h.jpg,2,9999,88,red,TBF_neg,IMDF_scanner,no,,9999,88,118,4,4,TBF,two,136
neu,IMDF_scanner,138.jpg,neutral_119.jpg,2,41,9999,red,TBF_neu,IMDF_scanner,no,,41,9999,11,1,4,TBF,one,137
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,138
neg,IMDF_scanner,280.jpg,Objects_206_h.jpg,2,68,9999,red,TBF_neg,IMDF_scanner,no,,9999,38,38,2,4,TBF,one,139
neg,IMDF_scanner,376.jpg,6211.jpg,2,84,9999,green,TBR_neg,IMDF_scanner,no,,9999,54,54,2,4,TBR,two,140
neg,IMDF_scanner,947.jpg,Objects_001_h.jpg,2,9999,90,red,TBF_neg,IMDF_scanner,no,,9999,90,120,4,4,TBF,two,141
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,142
neg,IMDF_scanner,268.jpg,Objects_088_h.jpg,2,66,9999,green,TBR_neg,IMDF_scanner,no,,9999,36,36,2,4,TBR,one,143
neu,IMDF_scanner,506.jpg,neutral_532.jpg,2,9999,45,red,TBF_neu,IMDF_scanner,no,,75,9999,75,3,4,TBF,one,144
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,145
neg,IMDF_scanner,313.jpg,People_226_h.jpg,2,73,9999,green,TBR_neg,IMDF_scanner,no,,9999,43,43,2,4,TBR,one,146
neu,IMDF_scanner,118.jpg,neutral_096.jpg,2,36,9999,green,TBR_neu,IMDF_scanner,no,,36,9999,6,1,4,TBR,one,147
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,148
